0;Administrador;Zorsal;admin@zorsalrules.cl;+569XXXXXXXX;Chile
1;Vincent;Haynes;vhaynes@uc.cl;+56905858728;Congo
2;Helen;Lucas;hlucas@uc.cl;+56923298705;Afghanistan
3;William;Townley;wtownley@uc.cl;+56914636416;Saint Kitts and Nevis
4;Janet;Mercier;jmercier@uc.cl;+56950537393;Liechtenstein
5;Antonio;Sims;asims@uc.cl;+56919131881;Sint Maarten (Dutch part)
6;Mary;June;mjune@uc.cl;+56912274797;Montserrat
7;James;Barton;jbarton@uc.cl;+56910527546;South Sudan
8;Matthew;Dabbs;mdabbs@uc.cl;+56933560422;Nepal
9;Marilyn;Glynn;mglynn@uc.cl;+56934904128;Bermuda
10;Cornelius;Savage;csavage@uc.cl;+56964822314;Czechia
11;Maria;Foster;mfoster@uc.cl;+56967649599;South Africa
12;Antoinette;Swank;aswank@uc.cl;+56910575692;British Indian Ocean Territory
13;Vernon;Mcdade;vmcdade@uc.cl;+56953396482;Georgia
14;Bryan;Connors;bconnors@uc.cl;+56946340797;Iran, Islamic Republic of
15;Helen;Bridgett;hbridgett@uc.cl;+56988283059;Slovakia
16;David;Beanblossom;dbeanblossom@uc.cl;+56906859801;Suriname
17;Susan;Montgomery;smontgomery@uc.cl;+56974266153;Turkey
18;Maude;Weis;mweis@uc.cl;+56953178165;Ecuador
19;Ron;Harman;rharman@uc.cl;+56958820551;Sao Tome and Principe
