0;Administrador;Zorzal;admin@zorzal.cl;+56949350706;Chile
1;Stephanie;Foster;sfoster@uc.cl;+56997335082;Antarctica
2;John;Flores;jflores@uc.cl;+56977093961;Greece
3;Frank;Raymond;fraymond@uc.cl;+56929413289;Malta
4;Mary;Polizio;mpolizio@uc.cl;+56963098964;Sierra Leone
5;Robert;Hosie;rhosie@uc.cl;+56985989287;Liberia
6;Dennis;Ayers;dayers@uc.cl;+56995322847;Timor-Leste
7;Michael;Acevedo;macevedo@uc.cl;+56935911002;Romania
8;Leland;Still;lstill@uc.cl;+56959170251;Central African Republic
9;Victor;Griffin;vgriffin@uc.cl;+56910817991;Andorra
